Samsung Omnia 7 I8700,WP7,320,480
Samsung Wave S8500,Bada,240,400
Samsung Wave S8500,Bada,320,534
Scroll Excel,Android,480,800
Sony BRAVIA 40 EX520,Proprietary (TV),-,1920
Sony Ericsson Elm,Proprietary (Java),240,-
Sony Ericsson Spiro,Proprietary (Java),240,-
Sony Ericsson Xperia Arc,Android,320,569
Sony Ericsson Xperia Mini ST15i,Android,320,401
Sony Ericsson Xperia Neo,Android,480,854
Sony Ericcson Xperia Play,Android,425,974
Sony Ericsson Xperia X8,Android,320,480
Sony Ericsson Xperia X10,Android,320,569
Sony PlayStation 3,PlayStation 3,-,1824
Sony PlayStation Portable,PlayStation Portable,-,480
Sony PlayStation Vita,PlayStation Vita,-,896
Sony Tablet P,Android,-,1024
Sony Tablet S,Android,800,1280
Sony VAIO Tap 20,Windows 8,900,1600
Sony Xperia acro S,Android,360,640
Sony Xperia P,Android,360,640
Sony Xperia S,Android,360,640
Sony Xperia Sola,Android,320,569
Sony Xperia SP,Android,360,598
Sony Xperia Tablet Z,Android,800,1280
Sony Xperia Tipo,Android,320,480
Sony Xperia U,Android,320,569
Sony Xperia V,Android,360,598
Sony Xperia Z,Android,360,598
Sony Xperia Z1,Android,360,598
Telstra T-Hub 2,Android,400,683
Tesco Hudl,Android,600,799
Toshiba AT100,Android,800,1280
Toshiba AT1S0,Android,602,961
Toshiba AT200,Android,800,1280
Toshiba AT300,Android,800,1280
Toshiba AT330,Android,900,1600
Wiko Cink Slim,Android,320,533
Yarvik Xenta Tab 8c,Android,768,1024
XBOX 360,XBOX,-,1050
Xiaomi MI-3,Android,360,640
ZTE Open,FireFox OS,320,415
ZTE T22 (Telstra Urbane),Android,320,533
ZTE T28 (Telstra Active Touch),Android,320,533
ZTE T760 (Telstra Smart-Touch 2),Android,320,480
ZTE T790 (Telstra Pulse),Android,320,480
ZTE T81 (Telstra Frontier 4G),Android,320,533
ZTE T82 (Telstra Easy Touch 4G),Android,360,598
ZTE T83 (Telstra Dave 4G),Android,320,534
